Team,Year,Sport,Gold,Silver,Bronze
Sweden,1924,Modern Pentathlon,1,1,1
Sweden,1924,Shooting,0,5,5
Sweden,1924,Swimming,0,2,10
Sweden,1924,Wrestling,1,2,1
Sweden,1928,Athletics,1,2,4
Sweden,1928,Boxing,0,1,1
Sweden,1928,Cross Country Skiing,1,1,1
Sweden,1928,Cycling,0,0,5
Sweden,1928,Diving,0,0,1
Sweden,1928,Equestrianism,0,3,4
Sweden,1928,Figure Skating,1,0,0
Sweden,1928,Ice Hockey,0,12,0
Sweden,1928,Modern Pentathlon,1,1,0
Sweden,1928,Sailing,1,0,0
Sweden,1928,Swimming,1,0,1
Sweden,1928,Wrestling,3,1,0
Sweden,1932,Art Competitions,1,0,0
Sweden,1932,Athletics,0,1,0
Sweden,1932,Boxing,0,1,1
Sweden,1932,Cross Country Skiing,1,1,0
Sweden,1932,Cycling,0,0,4
Sweden,1932,Equestrianism,0,3,2
Sweden,1932,Figure Skating,0,1,0
Sweden,1932,Modern Pentathlon,1,1,0
Sweden,1932,Shooting,1,0,0
Sweden,1932,Wrestling,6,1,3
Sweden,1936,Art Competitions,0,0,1
Sweden,1936,Athletics,0,0,2
Sweden,1936,Boxing,0,0,1
Sweden,1936,Canoeing,2,0,2
Sweden,1936,Cross Country Skiing,2,1,5
Sweden,1936,Equestrianism,0,0,3
Sweden,1936,Fencing,0,6,0
Sweden,1936,Figure Skating,0,0,1
Sweden,1936,Shooting,1,0,1
Sweden,1936,Ski Jumping,0,1,0
Sweden,1936,Wrestling,4,3,2
Sweden,1948,Art Competitions,1,0,1
Sweden,1948,Athletics,5,3,8
Sweden,1948,Boxing,0,1,0
Sweden,1948,Canoeing,6,0,0
Sweden,1948,Cross Country Skiing,6,2,1
Sweden,1948,Equestrianism,0,3,2
Sweden,1948,Fencing,0,0,6
Sweden,1948,Football,12,0,0
Sweden,1948,Modern Pentathlon,1,0,1
Sweden,1948,Nordic Combined,0,0,1
Sweden,1948,Shooting,0,0,3
Sweden,1948,Speed Skating,1,1,1
Sweden,1948,Weightlifting,0,0,1
Sweden,1948,Wrestling,5,5,3
Sweden,1952,Athletics,1,0,2
Sweden,1952,Boxing,0,1,1
Sweden,1952,Canoeing,1,5,0
Sweden,1952,Cross Country Skiing,0,0,4
Sweden,1952,Equestrianism,8,0,0
Sweden,1952,Fencing,0,6,0
Sweden,1952,Football,0,0,12
Sweden,1952,Gymnastics,9,0,0
Sweden,1952,Ice Hockey,0,0,17
Sweden,1952,Modern Pentathlon,1,3,0
Sweden,1952,Sailing,0,0,1
Sweden,1952,Shooting,0,2,1
Sweden,1952,Ski Jumping,0,0,1
Sweden,1952,Speed Skating,0,0,1
Sweden,1952,Swimming,0,0,2
Sweden,1952,Wrestling,3,4,1
Sweden,1956,Alpine Skiing,0,0,1
Sweden,1956,Athletics,0,0,1
Sweden,1956,Canoeing,2,0,0
Sweden,1956,Cross Country Skiing,1,2,8
Sweden,1956,Equestrianism,5,0,0
Sweden,1956,Gymnastics,0,7,1
Sweden,1956,Modern Pentathlon,1,0,0
Sweden,1956,Nordic Combined,0,1,0
Sweden,1956,Rowing,0,5,0
Sweden,1956,Shooting,0,1,1
Sweden,1956,Speed Skating,1,1,0
Sweden,1956,Wrestling,0,1,3
Sweden,1960,Athletics,0,1,0
Sweden,1960,Biathlon,1,0,0
Sweden,1960,Canoeing,2,0,1
Sweden,1960,Cross Country Skiing,4,2,1
Sweden,1960,Speed Skating,0,0,1
Sweden,1960,Swimming,0,1,0
Sweden,1960,Wrestling,0,0,2
Sweden,1964,Athletics,0,0,1
Sweden,1964,Canoeing,3,0,0
Sweden,1964,Cross Country Skiing,5,4,1
Sweden,1964,Cycling,0,0,4
Sweden,1964,Ice Hockey,0,17,0
Sweden,1964,Speed Skating,1,0,0
Sweden,1964,Wrestling,0,1,1
Sweden,1968,Biathlon,0,0,4
Sweden,1968,Cross Country Skiing,2,7,1
Sweden,1968,Cycling,0,4,1
Sweden,1968,Modern Pentathlon,1,0,0
Sweden,1968,Sailing,3,0,0
Sweden,1968,Speed Skating,1,0,1
Sweden,1972,Archery,0,1,0
Sweden,1972,Athletics,0,0,1
Sweden,1972,Biathlon,0,0,1
Sweden,1972,Boxing,0,0,1
Sweden,1972,Canoeing,0,1,0
Sweden,1972,Cross Country Skiing,1,0,0
Sweden,1972,Diving,1,1,0
Sweden,1972,Equestrianism,0,0,4
Sweden,1972,Sailing,0,6,0
Sweden,1972,Shooting,1,0,0
Sweden,1972,Speed Skating,0,1,1
Sweden,1972,Swimming,2,0,0
Sweden,1972,Weightlifting,0,0,1
Sweden,1972,Wrestling,0,1,1
Sweden,1976,Alpine Skiing,0,0,1
Sweden,1976,Athletics,1,0,0
Sweden,1976,Cross Country Skiing,0,0,1
Sweden,1976,Cycling,1,0,0
Sweden,1976,Diving,0,1,0
Sweden,1976,Fencing,5,0,0
Sweden,1976,Sailing,2,0,0
Sweden,1980,Alpine Skiing,2,0,0
Sweden,1980,Cross Country Skiing,1,0,0
Sweden,1980,Fencing,1,0,0
Sweden,1980,Ice Hockey,0,0,20
Sweden,1980,Modern Pentathlon,0,0,3
Sweden,1980,Sailing,0,0,2
Sweden,1980,Shooting,0,1,1
Sweden,1980,Swimming,2,7,1
Sweden,1980,Wrestling,0,0,2
Sweden,1984,Athletics,0,2,1
Sweden,1984,Canoeing,3,11,0
Sweden,1984,Cross Country Skiing,6,1,1
Sweden,1984,Equestrianism,0,0,3
Sweden,1984,Fencing,0,1,0
Sweden,1984,Ice Hockey,0,0,20
Sweden,1984,Modern Pentathlon,0,1,0
Sweden,1984,Shooting,0,1,0
Sweden,1984,Speed Skating,1,1,0
Sweden,1984,Swimming,0,0,7
Sweden,1984,Wrestling,0,2,2
Sweden,1988,Alpine Skiing,0,0,1
Sweden,1988,Athletics,0,0,1
Sweden,1988,Boxing,0,1,1
Sweden,1988,Cross Country Skiing,5,0,0
Sweden,1988,Cycling,0,0,4
Sweden,1988,Ice Hockey,0,0,22
Sweden,1988,Sailing,0,2,0
Sweden,1988,Shooting,0,1,0
Sweden,1988,Speed Skating,2,0,0
Sweden,1988,Swimming,0,1,0
Sweden,1988,Table Tennis,0,0,1
Sweden,1988,Tennis,0,0,3
Sweden,1988,Wrestling,0,0,1
Sweden,1992,Alpine Skiing,1,0,0
Sweden,1992,Athletics,0,1,0
Sweden,1992,Biathlon,0,0,5
Sweden,1992,Canoeing,0,4,4
Sweden,1992,Cross Country Skiing,0,0,1
Sweden,1992,Handball,0,16,0
Sweden,1992,Shooting,0,0,1
Sweden,1992,Swimming,0,5,1
Sweden,1992,Table Tennis,1,0,0
Sweden,1992,Wrestling,0,1,1
Sweden,1994,Alpine Skiing,1,0,0
Sweden,1994,Freestyle Skiing,0,1,0
Sweden,1994,Ice Hockey,22,0,0
Sweden,1996,Archery,0,1,0
Sweden,1996,Athletics,1,0,0
Sweden,1996,Canoeing,2,0,4
Sweden,1996,Handball,0,16,0
Sweden,1996,Sailing,0,2,0
Sweden,1996,Swimming,0,4,0
Sweden,1996,Wrestling,0,0,1
Sweden,1998,Alpine Skiing,0,1,0
Sweden,1998,Cross Country Skiing,0,1,0
Sweden,1998,Curling,0,0,5
Sweden,2000,Athletics,0,0,1
Sweden,2000,Canoeing,0,2,0
Sweden,2000,Handball,0,15,0
Sweden,2000,Sailing,0,0,1
Sweden,2000,Shooting,2,0,0
Sweden,2000,Swimming,1,2,6
Sweden,2000,Table Tennis,0,1,0
Sweden,2000,Wrestling,1,0,0
Sweden,2002,Alpine Skiing,0,1,1
Sweden,2002,Biathlon,0,0,2
Sweden,2002,Cross Country Skiing,0,0,1
Sweden,2002,Ice Hockey,0,0,20
Sweden,2002,Snowboarding,0,1,0
Sweden,2004,Athletics,3,0,0
Sweden,2004,Canoeing,2,0,0
Sweden,2004,Equestrianism,0,4,0
Sweden,2004,Sailing,0,0,2
Sweden,2004,Wrestling,0,1,0
Sweden,2006,Alpine Skiing,1,0,3
Sweden,2006,Biathlon,1,1,0
Sweden,2006,Cross Country Skiing,5,0,5
Sweden,2006,Curling,4,0,0
Sweden,2006,Ice Hockey,24,20,0
Sweden,2008,Cycling,0,2,0
Sweden,2008,Equestrianism,0,1,0
Sweden,2008,Sailing,0,0,2
Sweden,2010,Alpine Skiing,0,0,2
Sweden,2010,Biathlon,1,0,0
Sweden,2010,Cross Country Skiing,6,3,2
Sweden,2010,Curling,4,0,0
Sweden,2012,Equestrianism,0,1,0
Sweden,2012,Handball,0,14,0
Sweden,2012,Sailing,2,0,1
Sweden,2012,Shooting,0,1,0
Sweden,2012,Triathlon,0,1,0
Sweden,2012,Wrestling,0,0,2
Sweden,2014,Cross Country Skiing,8,5,6
Sweden,2014,Curling,0,4,4
Sweden,2014,Freestyle Skiing,0,0,1
Sweden,2014,Ice Hockey,0,23,0
Sweden,2016,Cycling,1,1,0
Sweden,2016,Equestrianism,0,1,0
Sweden,2016,Football,0,18,0
Sweden,2016,Golf,0,1,0
Sweden,2016,Shooting,0,1,0
Sweden,2016,Swimming,1,1,1
Sweden,2016,Wrestling,0,0,2
Sweden-1,1912,Tennis,0,2,0
Sweden-2,1912,Tennis,0,2,0
Sweden-2,2008,Tennis,0,2,0
Sweden-3,1912,Tennis,0,0,2
Swedish Star,1932,Sailing,0,0,2
Swift,1948,Sailing,2,0,0
Switzerland,1896,Gymnastics,1,2,0
Switzerland,1900,Shooting,13,1,1
Switzerland,1904,Gymnastics,1,0,1
Switzerland,1904,Wrestling,0,0,1
Switzerland,1906,Shooting,8,3,1
Switzerland,1912,Art Competitions,2,0,0
Switzerland,1920,Rowing,5,0,3
Switzerland,1920,Shooting,0,0,17
Switzerland,1920,Weightlifting,0,1,1
Switzerland,1920,Wrestling,1,1,0
Switzerland,1924,Athletics,0,2,0
Switzerland,1924,Equestrianism,1,4,0
Switzerland,1924,Figure Skating,0,0,1
Switzerland,1924,Football,0,15,0
Switzerland,1924,Gymnastics,2,2,10
Switzerland,1924,Military Ski Patrol,4,0,0
Switzerland,1924,Rowing,9,0,7
Switzerland,1924,Shooting,0,0,1
Switzerland,1924,Weightlifting,0,1,1
Switzerland,1924,Wrestling,2,1,2
Switzerland,1928,Art Competitions,0,2,0
Switzerland,1928,Equestrianism,0,0,1
Switzerland,1928,Gymnastics,12,2,2
Switzerland,1928,Ice Hockey,0,0,12
Switzerland,1928,Rowing,3,5,0
Switzerland,1928,Wrestling,1,1,1
Switzerland,1932,Gymnastics,0,1,0
Switzerland,1936,Aeronautics,1,0,0
Switzerland,1936,Alpinism,2,0,0
Switzerland,1936,Art Competitions,1,0,0
Switzerland,1936,Athletics,0,1,0
Switzerland,1936,Cycling,0,4,1
Switzerland,1936,Gymnastics,1,13,2
Switzerland,1936,Handball,0,0,17
Switzerland,1936,Rowing,0,5,4
Switzerland,1948,Alpine Skiing,2,2,2
Switzerland,1948,Art Competitions,0,3,1
Switzerland,1948,Athletics,0,1,1
Switzerland,1948,Equestrianism,1,0,0
Switzerland,1948,Fencing,0,1,0
Switzerland,1948,Figure Skating,0,1,0
Switzerland,1948,Gymnastics,3,11,2
Switzerland,1948,Ice Hockey,0,0,17
Switzerland,1948,Rowing,0,7,0
Switzerland,1948,Shooting,1,1,0
Switzerland,1948,Wrestling,0,1,2
Switzerland,1952,Athletics,0,1,0
Switzerland,1952,Equestrianism,0,3,0
Switzerland,1952,Fencing,0,0,7
Switzerland,1952,Gymnastics,2,9,3
Switzerland,1952,Rowing,0,5,2
Switzerland,1952,Shooting,0,1,0
Switzerland,1956,Alpine Skiing,2,2,0
Switzerland,1956,Equestrianism,0,0,3
Switzerland,1960,Alpine Skiing,2,0,0
Switzerland,1960,Equestrianism,0,5,1
Switzerland,1960,Rowing,0,0,2
Switzerland,1960,Shooting,0,1,0
Switzerland,1964,Equestrianism,1,3,0
Switzerland,1964,Judo,0,1,0
Switzerland,1964,Rowing,0,0,1
Switzerland,1968,Alpine Skiing,0,1,2
Switzerland,1968,Cross Country Skiing,0,0,1
Switzerland,1968,Cycling,0,0,1
Switzerland,1968,Equestrianism,0,0,3
Switzerland,1968,Nordic Combined,0,1,0
Switzerland,1968,Rowing,0,0,5
Switzerland,1968,Sailing,0,3,0
Switzerland,1968,Shooting,0,0,1
Switzerland,1972,Alpine Skiing,3,2,1
Switzerland,1972,Cross Country Skiing,0,0,4
Switzerland,1972,Cycling,0,1,0
Switzerland,1972,Fencing,0,5,0
Switzerland,1972,Rowing,0,2,0
Switzerland,1972,Ski Jumping,0,1,0
Switzerland,1976,Alpine Skiing,1,2,0
Switzerland,1976,Equestrianism,1,3,0
Switzerland,1976,Fencing,0,0,5
Switzerland,1976,Judo,0,0,1
Switzerland,1980,Alpine Skiing,0,0,3
Switzerland,1980,Cycling,1,0,0
Switzerland,1980,Judo,1,0,0
Switzerland,1984,Alpine Skiing,2,2,0
Switzerland,1984,Athletics,0,1,0
Switzerland,1984,Cycling,0,4,0
Switzerland,1984,Equestrianism,0,3,2
Switzerland,1984,Shooting,0,1,0
Switzerland,1984,Swimming,0,0,1
Switzerland,1984,Wrestling,0,0,1
Switzerland,1988,Alpine Skiing,3,4,4
Switzerland,1988,Athletics,0,0,1
Switzerland,1988,Cross Country Skiing,0,0,1
Switzerland,1988,Equestrianism,0,4,1
Switzerland,1988,Nordic Combined,1,3,0
Switzerland,1988,Rowing,0,2,0
Switzerland,1992,Alpine Skiing,0,0,1
Switzerland,1992,Tennis,1,0,0
Switzerland,1994,Alpine Skiing,1,2,1
Switzerland,1994,Freestyle Skiing,1,0,0
Switzerland,1994,Nordic Combined,0,0,3
Switzerland,1996,Canoeing,0,4,0
Switzerland,1996,Cycling,1,1,0
Switzerland,1996,Equestrianism,0,1,0
Switzerland,1996,Gymnastics,1,0,0
Switzerland,1996,Rowing,3,0,0
Switzerland,1998,Alpine Skiing,0,1,1
Switzerland,1998,Curling,5,0,0
Switzerland,1998,Freestyle Skiing,0,0,1
Switzerland,1998,Snowboarding,1,0,1
Switzerland,2000,Cycling,0,1,1
Switzerland,2000,Equestrianism,0,4,0
Switzerland,2000,Fencing,0,4,0
Switzerland,2000,Rowing,0,1,0
Switzerland,2000,Shooting,0,1,0
Switzerland,2000,Triathlon,1,0,1
Switzerland,2002,Alpine Skiing,0,0,1
Switzerland,2002,Cross Country Skiing,0,0,4
Switzerland,2002,Curling,0,5,5
Switzerland,2002,Skeleton,0,0,1
Switzerland,2002,Ski Jumping,2,0,0
Switzerland,2002,Snowboarding,1,0,1
Switzerland,2004,Cycling,0,2,1
Switzerland,2004,Fencing,1,0,0
Switzerland,2004,Triathlon,0,0,1
Switzerland,2006,Alpine Skiing,0,1,2
Switzerland,2006,Curling,0,4,0
Switzerland,2006,Figure Skating,0,1,0
Switzerland,2006,Freestyle Skiing,1,0,0
Switzerland,2006,Skeleton,1,0,1
Switzerland,2006,Snowboarding,3,1,0
Switzerland,2008,Cycling,1,1,2
Switzerland,2008,Equestrianism,0,0,4
Switzerland,2008,Judo,0,0,1
Switzerland,2008,Tennis,2,0,0
Switzerland,2010,Alpine Skiing,2,0,1
Switzerland,2010,Cross Country Skiing,1,0,0
Switzerland,2010,Curling,0,0,4
Switzerland,2010,Freestyle Skiing,1,0,0
Switzerland,2010,Ski Jumping,2,0,0
Switzerland,2010,Snowboarding,0,0,1
Switzerland,2012,Cycling,0,1,0
Switzerland,2012,Equestrianism,1,0,0
Switzerland,2012,Tennis,0,1,0
Switzerland,2012,Triathlon,1,0,0
Switzerland,2014,Alpine Skiing,2,0,1
Switzerland,2014,Biathlon,0,1,0
Switzerland,2014,Cross Country Skiing,2,0,0
Switzerland,2014,Ice Hockey,0,0,19
Switzerland,2014,Snowboarding,2,1,0
Switzerland,2016,Cycling,2,0,0
Switzerland,2016,Gymnastics,0,0,1
Switzerland,2016,Rowing,4,0,0
Switzerland,2016,Shooting,0,0,1
Switzerland,2016,Tennis,0,2,0
Switzerland,2016,Triathlon,0,1,0
Switzerland-1,1924,Bobsleigh,4,0,0
Switzerland-1,1936,Bobsleigh,0,4,0
Switzerland-1,1948,Bobsleigh,0,2,0
Switzerland-1,1952,Bobsleigh,0,0,6
Switzerland-1,1956,Bobsleigh,4,0,2
Switzerland-1,1968,Bobsleigh,0,0,4
Switzerland-1,1972,Bobsleigh,4,0,2
Switzerland-1,1976,Bobsleigh,0,0,2
Switzerland-1,1980,Bobsleigh,0,4,0
Switzerland-1,1984,Bobsleigh,0,0,4
Switzerland-1,1988,Bobsleigh,4,0,0
Switzerland-1,1992,Bobsleigh,2,0,4
Switzerland-1,1994,Bobsleigh,2,4,0
Switzerland-1,1998,Bobsleigh,0,4,0
Switzerland-1,2002,Bobsleigh,0,2,0
Switzerland-1,2006,Bobsleigh,0,0,6
Switzerland-1,2014,Bobsleigh,0,2,0
Switzerland-2,1932,Bobsleigh,0,2,0
Switzerland-2,1936,Bobsleigh,4,2,0
Switzerland-2,1948,Bobsleigh,2,0,0
Switzerland-2,1976,Bobsleigh,0,4,0
Switzerland-2,1980,Bobsleigh,2,0,0
Switzerland-2,1994,Bobsleigh,0,2,0
Switzerland-2,2002,Bobsleigh,0,0,2
Switzerland-2,2004,Beach Volleyball,0,0,2
Sylvia,1928,Sailing,0,0,6
Symphony,1948,Sailing,0,2,0
Syria,1984,Wrestling,0,1,0
Syria,1996,Athletics,1,0,0
Syria,2004,Boxing,0,0,1
Taifun,1912,Sailing,5,0,0
Tajikistan,2008,Judo,0,0,1
Tajikistan,2008,Wrestling,0,1,0
Tajikistan,2012,Boxing,0,0,1
Tajikistan,2016,Athletics,1,0,0
Tan-Fe-Pah,1920,Sailing,0,3,0
Tango,1960,Sailing,0,3,0
Tanzania,1980,Athletics,0,2,0
Thailand,1976,Boxing,0,0,1
Thailand,1984,Boxing,0,1,0
Thailand,1988,Boxing,0,0,1
Thailand,1992,Boxing,0,0,1
Thailand,1996,Boxing,1,0,1
Thailand,2000,Boxing,1,0,1
Thailand,2000,Weightlifting,0,0,1
Thailand,2004,Boxing,1,1,1
Thailand,2004,Taekwondo,0,0,1
Thailand,2004,Weightlifting,2,0,2
Thailand,2008,Boxing,1,1,0
Thailand,2008,Taekwondo,0,1,0
Thailand,2008,Weightlifting,1,0,0
Thailand,2012,Boxing,0,1,0
Thailand,2012,Taekwondo,0,0,1
Thailand,2012,Weightlifting,0,1,0
Thailand,2016,Taekwondo,0,1,1
Thailand,2016,Weightlifting,2,1,1
Thames Rowing Club,1912,Rowing,0,5,0
Thessalonki-1,1906,Football,0,0,11
Tip,1956,Sailing,0,3,0
Togo,2008,Canoeing,0,0,1
Tonga,1996,Boxing,0,1,0
Tornado,1952,Sailing,0,3,0
Tornado,1960,Sailing,2,0,0
Toronto Argonauts,1904,Rowing,0,9,0
Toronto Argonauts,1908,Rowing,0,0,9
Trans-Mississippi Golf Association-2,1904,Golf,0,10,0
Trinidad and Tobago,1948,Weightlifting,0,1,0
Trinidad and Tobago,1952,Weightlifting,0,0,2
Trinidad and Tobago,1964,Athletics,0,1,5
Trinidad and Tobago,1976,Athletics,1,0,0
Trinidad and Tobago,1996,Athletics,0,0,2
Trinidad and Tobago,2000,Athletics,0,1,1
Trinidad and Tobago,2004,Swimming,0,0,1
Trinidad and Tobago,2008,Athletics,5,1,0
Trinidad and Tobago,2012,Athletics,1,4,5
Trinidad and Tobago,2016,Athletics,0,0,1
Tritons Lillois-2,1900,Swimming,0,5,0
Tunisia,1964,Athletics,0,1,0
Tunisia,1964,Boxing,0,0,1
Tunisia,1968,Athletics,1,0,1
Tunisia,1972,Athletics,0,1,0
Tunisia,1996,Boxing,0,0,1
Tunisia,2008,Swimming,1,0,0
Tunisia,2012,Athletics,0,1,0
Tunisia,2012,Swimming,1,0,1
Tunisia,2016,Fencing,0,0,1
Tunisia,2016,Taekwondo,0,0,1
Tunisia,2016,Wrestling,0,0,1
Turkey,1936,Wrestling,1,0,1
Turkey,1948,Athletics,0,0,1
Turkey,1948,Wrestling,6,4,1
Turkey,1952,Wrestling,2,0,1
Turkey,1956,Wrestling,3,2,2
Turkey,1960,Wrestling,7,2,0
Turkey,1964,Wrestling,2,3,1
Turkey,1968,Wrestling,2,0,0
Turkey,1972,Wrestling,0,1,0
Turkey,1984,Boxing,0,0,2
Turkey,1984,Wrestling,0,0,1
Turkey,1988,Weightlifting,1,0,0
Turkey,1988,Wrestling,0,1,0
Turkey,1992,Judo,0,0,1
Turkey,1992,Weightlifting,1,0,0
Turkey,1992,Wrestling,1,2,1
Turkey,1996,Boxing,0,1,0
Turkey,1996,Weightlifting,2,0,0
Turkey,1996,Wrestling,2,0,1
Turkey,2000,Judo,1,0,0
Turkey,2000,Taekwondo,0,0,1
Turkey,2000,Weightlifting,1,0,0
Turkey,2000,Wrestling,1,0,1
Turkey,2004,Athletics,0,0,1
Turkey,2004,Boxing,0,1,0
Turkey,2004,Taekwondo,0,1,0
Turkey,2004,Weightlifting,3,0,2
Turkey,2004,Wrestling,0,1,2
Turkey,2008,Athletics,0,1,0
Turkey,2008,Boxing,0,0,1
Turkey,2008,Taekwondo,0,1,1
Turkey,2008,Weightlifting,0,1,0
Turkey,2008,Wrestling,1,0,1
Turkey,2012,Athletics,1,1,0
Turkey,2012,Taekwondo,1,1,0
Turkey,2012,Wrestling,0,0,1
Turkey,2016,Athletics,0,0,1
Turkey,2016,Taekwondo,0,0,1
Turkey,2016,Weightlifting,0,1,0
Turkey,2016,Wrestling,1,2,2
Turquoise-1,1900,Sailing,0,0,1
Tutti V,1928,Sailing,0,0,5
USFSA,1900,Football,0,13,0
Uganda,1968,Boxing,0,1,1
Uganda,1972,Athletics,1,0,0
Uganda,1972,Boxing,0,1,0
Uganda,1980,Boxing,0,1,0
Uganda,1996,Athletics,0,0,1
Uganda,2012,Athletics,1,0,0
Ukraine,1994,Biathlon,0,0,1
Ukraine,1994,Figure Skating,1,0,0
Ukraine,1996,Archery,0,0,1
Ukraine,1996,Athletics,1,0,3
Ukraine,1996,Boxing,1,0,1
Ukraine,1996,Gymnastics,3,1,7
Ukraine,1996,Rhythmic Gymnastics,1,0,1
Ukraine,1996,Rowing,0,4,0
Ukraine,1996,Sailing,2,0,2
Ukraine,1996,Weightlifting,1,0,1
Ukraine,1996,Wrestling,1,0,3
Ukraine,1998,Biathlon,0,1,0
Ukraine,2000,Archery,0,3,0
Ukraine,2000,Athletics,0,0,2
Ukraine,2000,Boxing,0,2,3
Ukraine,2000,Cycling,0,4,1
Ukraine,2000,Diving,0,0,2
Ukraine,2000,Gymnastics,0,6,1
Ukraine,2000,Judo,0,0,1
Ukraine,2000,Sailing,0,0,2
Ukraine,2000,Shooting,1,0,0
Ukraine,2000,Swimming,2,2,0
Ukraine,2000,Trampolining,0,1,0
Ukraine,2000,Wrestling,0,2,0
Ukraine,2004,Archery,0,0,3
Ukraine,2004,Athletics,0,1,2
Ukraine,2004,Canoeing,0,0,4
Ukraine,2004,Fencing,0,0,1
Ukraine,2004,Gymnastics,1,0,0
Ukraine,2004,Handball,0,0,15
Ukraine,2004,Judo,0,1,0
Ukraine,2004,Rhythmic Gymnastics,0,0,1
Ukraine,2004,Rowing,0,0,4
Ukraine,2004,Sailing,0,5,0
Ukraine,2004,Shooting,1,0,0
Ukraine,2004,Swimming,2,0,1
Ukraine,2004,Trampolining,1,0,0
Ukraine,2004,Weightlifting,1,1,0
Ukraine,2004,Wrestling,2,0,0
Ukraine,2006,Biathlon,0,0,1
Ukraine,2008,Archery,1,0,0
Ukraine,2008,Athletics,1,1,3
Ukraine,2008,Boxing,1,0,1
Ukraine,2008,Canoeing,1,0,1
Ukraine,2008,Cycling,0,0,1
Ukraine,2008,Diving,0,0,2
Ukraine,2008,Fencing,4,0,0
Ukraine,2008,Gymnastics,0,0,1
Ukraine,2008,Judo,0,0,1
Ukraine,2008,Modern Pentathlon,0,0,1
Ukraine,2008,Rhythmic Gymnastics,0,0,1
Ukraine,2008,Shooting,2,1,0
Ukraine,2008,Weightlifting,0,1,1
Ukraine,2008,Wrestling,0,2,3
Ukraine,2012,Athletics,0,1,5
Ukraine,2012,Boxing,2,1,2
Ukraine,2012,Canoeing,1,2,0
Ukraine,2012,Fencing,1,0,1
Ukraine,2012,Gymnastics,0,0,1
Ukraine,2012,Rowing,4,0,0
Ukraine,2012,Shooting,0,0,2
Ukraine,2012,Weightlifting,1,0,1
Ukraine,2012,Wrestling,0,1,0
Ukraine,2014,Biathlon,4,0,1
Ukraine,2016,Athletics,0,0,1
Ukraine,2016,Canoeing,1,0,2
Ukraine,2016,Fencing,0,4,1
Ukraine,2016,Gymnastics,1,1,0
Ukraine,2016,Modern Pentathlon,0,1,0
Ukraine,2016,Rhythmic Gymnastics,0,0,1
Ukraine,2016,Shooting,0,1,0
Ukraine,2016,Wrestling,0,1,0
Ukraine-1,2006,Figure Skating,0,0,2
Unified Team,1992,Archery,0,0,4
Unified Team,1992,Athletics,12,14,3
Unified Team,1992,Basketball,12,0,0
Unified Team,1992,Biathlon,2,5,4
Unified Team,1992,Boxing,0,1,1
Unified Team,1992,Canoeing,2,1,0
Unified Team,1992,Cross Country Skiing,6,2,4
Unified Team,1992,Diving,0,2,1
Unified Team,1992,Fencing,5,2,6
Unified Team,1992,Figure Skating,1,0,0
Unified Team,1992,Freestyle Skiing,0,1,0
Unified Team,1992,Gymnastics,19,5,4
Unified Team,1992,Handball,12,0,13
Unified Team,1992,Ice Hockey,22,0,0
Unified Team,1992,Judo,2,0,2
Unified Team,1992,Modern Pentathlon,0,3,1
Unified Team,1992,Rhythmic Gymnastics,1,0,1
Unified Team,1992,Rowing,0,0,4
Unified Team,1992,Shooting,5,2,1
Unified Team,1992,Short Track Speed Skating,0,0,4
Unified Team,1992,Swimming,11,14,5
Unified Team,1992,Tennis,0,0,3
Unified Team,1992,Volleyball,0,8,0
Unified Team,1992,Water Polo,0,0,13
Unified Team,1992,Weightlifting,5,4,0
Unified Team,1992,Wrestling,6,5,5
Unified Team-1,1992,Figure Skating,4,0,0
Unified Team-2,1992,Figure Skating,0,2,2
Union des Socits Franais de Sports Athletiques,1900,Cricket,0,12,0
Union des Socits Franais de Sports Athletiques,1900,Rugby,17,0,0
United Arab Emirates,2004,Shooting,1,0,0
United Arab Emirates,2016,Judo,0,0,1
United Arab Republic,1960,Boxing,0,0,1
United Arab Republic,1960,Wrestling,0,1,0
United States,1896,Athletics,9,6,2
United States,1896,Shooting,2,1,0
United States,1900,Athletics,16,13,10
United States,1900,Cycling,0,0,1
United States,1900,Golf,2,1,1
United States,1900,Tennis,0,0,1
United States,1904,Archery,4,4,4
United States,1904,Athletics,21,21,21
United States,1904,Boxing,7,7,4
United States,1904,Cycling,7,7,7
United States,1904,Diving,1,0,1
United States,1904,Fencing,2,7,4
United States,1904,Golf,0,1,2
United States,1904,Gymnastics,11,7,9
United States,1904,Roque,1,1,1
United States,1904,Rowing,1,1,1
United States,1904,Swimming,3,3,4
United States,1904,Tennis,1,1,2
United States,1904,Weightlifting,1,2,0
United States,1904,Wrestling,5,6,6
United States,1906,Athletics,11,6,6
United States,1906,Swimming,1,0,0
United States,1908,Archery,0,0,1
United States,1908,Athletics,19,14,8
United States,1908,Diving,0,0,1
United States,1908,Jeu De Paume,1,0,0
United States,1908,Shooting,11,2,1
United States,1908,Swimming,1,0,4
United States,1908,Wrestling,2,0,0
United States,1912,Art Competitions,1,0,0
United States,1912,Athletics,23,14,12
United States,1912,Cycling,0,0,10
United States,1912,Equestrianism,0,0,4
United States,1912,Shooting,20,7,9
United States,1912,Swimming,2,4,1
United States,1920,Athletics,16,12,8
United States,1920,Boxing,3,0,1
United States,1920,Diving,3,2,3
United States,1920,Fencing,0,0,5
United States,1920,Figure Skating,0,0,1
United States,1920,Ice Hockey,0,11,0
United States,1920,Polo,0,0,4
